Pitch No.,Pitcher,PitcherThrows,AutoPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Kysar, Ryan",Right,Four-Seam,89.39978,-2.287801,-0.881412,2157.587738,205.955002,12:45,6.53257,1.6794,5.86539,-14.4404,20.90379,9.57138,3.20248,1.65813,80.95939,-5.077383,0.835516,0.427888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Kysar, Ryan",Right,Four-Seam,89.61128,-1.195838,-1.818891,2262.392202,203.727355,12:45,6.49815,1.44734,5.96337,-13.11631,21.88753,9.08815,4.29553,0.5175,81.08616,-3.758697,-0.186779,0.425823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Kysar, Ryan",Right,Changeup,79.97809,-1.954202,-3.071697,1323.346097,251.835408,2:30,6.37302,1.76017,5.41548,-37.72486,6.89453,16.62253,1.39516,0.26493,73.51135,-8.84262,-0.11316,0.480765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Kysar, Ryan",Right,ChangeUp,80.25161,-0.636464,-2.875738,1133.274392,263.841033,2:45,6.35649,1.67455,5.27798,-41.42242,3.02933,15.01816,2.30605,0.22278,73.72534,-8.176411,-0.209902,0.479861,90.03255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Kysar, Ryan",Right,Four-Seam,90.8737,-3.862438,-1.062787,2199.43599,201.363675,12:45,6.50217,1.39209,5.86429,-12.75772,21.36285,7.90371,1.84473,1.06328,82.79646,-6.322819,0.354882,0.420416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Kysar, Ryan",Right,Changeup,79.87778,-0.080519,-2.863042,1178.312505,278.473619,3:15,6.25621,1.84017,5.22892,-45.46432,-0.62752,13.45843,2.39173,0.26793,73.57601,-8.325162,-0.47622,0.481935,87.70363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Kysar, Ryan",Right,Slider,83.9176,-1.519647,-2.010464,2080.43804,170.348498,11:45,6.45658,1.59882,5.49069,-23.48533,16.64997,-2.62398,3.07659,-0.50146,77.19826,-5.883309,-2.477461,0.455968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Kysar, Ryan",Right,Four-Seam,90.67296,-1.098527,-2.972168,2311.38125,212.760398,1:00,6.52504,1.38443,5.787,-14.24457,20.28135,12.26686,4.31447,-0.36099,81.86255,-3.856333,-0.778946,0.422906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Kysar, Ryan",Right,Slider,83.35026,-1.566169,-1.783607,2240.99492,121.616028,10:00,6.374,1.40042,5.56808,-36.67986,4.16796,-4.64532,1.85319,-0.65344,76.51009,-8.276579,-2.613085,0.459998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Kysar, Ryan",Right,Four-Seam,91.07965,-2.315754,-1.237036,2321.842428,219.038949,1:15,6.45093,1.48189,5.64264,-16.37737,17.9104,13.56493,2.92416,1.45812,82.65057,-5.427297,1.186501,0.421445,15.42637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
